# Bundesland;Name des Betriebs ;Straße / Haus-Nr.;Ort;Alte Zulassungs-nummern;Neue Zulassungsnummer;Zulassungsnummer Eierpackstellen;CS;RW;WM;SH;CP;SH;CP;SH;CP;GHE;CP;MM;MP;MSM;PP;CC;PP;CC;PP;CC;PP;CC;PP;CC;PP;EPC;LEP;PP;AH;FV;ZV;FFPP;PP;WM;PC;DC;PP;Einschränkungen;Bemerkungen;Zulassung befristet bis;Zulassung ruht seit;Drittlandzulassungen;
NW;Maritta Fassbender-Briem;Meller Höfe 1;50374 Erftstadt;;NW 60065;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
NW;Martin Nolte;Im Winkel 14;33178 Borchen;;NW 20080;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
NW;Ludwig Christophliemke;Sürenheider Straße 58;33335 Gütersloh;;NW 30079;;;;;B;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;LVR-Max-Ernst Schule;Augenbroicher Straße 39;53879 Euskirchen;;NW 70257;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
NW;Mahmud Fleischhandel GmbH;Heisenbergstraße 6;59423 Unna;;NW 00023;;;;;;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Martin Telaar GmbH;Im Jägeringshof  17;46399 Bocholt;;NW 84005;;;;;B, P, C, S;B, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Marx GmbH & Co. KG;Bennerbergstraße 13;32816 Schieder-Schwalenberg;;NW 30193;;;;;O, C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Matthias Kürten;Alfen 1a;51688 Wipperfürth;;NW 70105;;;;;S, B, O, P, C;S, B, O, P, C;A, L;A, L;fG;fG;wA, wL, wU, wG;wA, wL, wU, wG;B, C, O, P, A, fG, wA, wL, wU;B, C, O, P, A, fG, wA, wL, wU;P, A, fG, wA, wL, wU;mp;;;;;;;;;;;;;;;;;;;;;;;;mobil/teilmobil / mobile Schlachtstätte;;;;
NW;Matthias Ungerechts;Rebhuhnweg 33;41844 Wegberg;;NW 60076;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
NW;Meierhof Rassfeld Land- und Forstwirtschaft;Meier-zu-Rassfeld-Weg 15;33330 Gütersloh;;NW 30102;;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Meinhard Ortkras ;Marienfelder Straße 108;33442 Herzebrock-Clarholz;;NW 30244;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Mensaverein an der Gesamtschule Langerfeld e. V.;Heinrich-Böll-Straße 240-250;42277 Wuppertal;;NW 50288;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
NW;Mensaverein an der Gesamtschule Velbert-Mitte e.V.;Birkenstraße 33a;42549 Velbert;;NW 50260;;;;;;;;;;;;;;;;mp;;;;X;;;;;;;;;X;;;;;;;;;;;Catering/Großküche;;;;
NW;Meyer Menü Beteiligungs-GmbH;Quellenhofweg 31;33617 Bielefeld;;NW 20027;;;;;;;;;;;;;;P;;mp;;;;;;;;;;;;;;;;;;;;;;;;Catering/Großküche;;;;
NW;Metzgerei & Partyservice Stefer, Hans-Bernd Selbach;Im Winkel 8;51515 Kürten;;NW 70138;;;;;S, B, O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Dieter Jaron;Monrestraße 52-54;47546 Kalkar;;NW 50092;;;;;B, C, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Fleischerei Dönninghaus GmbH;Brückstraße 49;44787 Bochum;;NW 10174;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Metzgerei Frank Prill;An der Pfarrkirche 6;50129 Bergheim;;NW 70032;;;;;S, B, O, P, C;S, B, O, P, C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Metzgerei Hermann-Josef Evers;Hauptstraße 39;48485 Neuenkirchen;;NW 90029;;;;;B, O, P, C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Metzgerei Jörg Siepen;Dorfplatz 19;50189 Elsdorf;;NW 70035;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Metzgerei Krengel;Stockumer Straße 40;59846 Sundern;;NW 10010;;;;;;B, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Metzgerei Bellendorf GmbH;Schulstraße 8;46286 Dorsten;;NW 90058;;;;;B, P;B, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Metzgerei Manfred Hess;Trierer Straße 13-15;53947 Nettersheim;;NW 70097;;;;;B, P, O;B, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Metzgerei Peter Stuff;Alter Amtsweg 5;57482 Wenden;;NW 10059;;;;;S, P;B, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Metzgerei Schumacher & Küpper;Annostraße 59;53881 Euskirchen;;NW 70045;;;;;B, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Metzgerei Walter Müller;Hövelstraße 24;58636 Iserlohn;;NW 10120;;;;;;B, P;;;;;wL, wU, wG, wA;;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Meyer zum Büschenfelde GbR;Büschenfelder Weg 45;32609 Hüllhorst;;NW 20098;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
NW;Josef Berrisch;Broicherseite 14;41564 Kaarst;;NW 40077;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
NW;Josef Nölle;Göttinger Straße 25;59329 Wadersloh;;NW 90144;;;;;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Josef Schmäing GmbH;Aeckern 12;48734 Reken;;NW 90004;;;;;S, B, O, P, C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Landschlachterei Josef Schmitz GmbH & Co. KG;Kirchheimer Straße 57;53881 Euskirchen;;NW 70043;;;;;B, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Josephs-Gesellschaft gGmbH;Kalverbenden 91;52066 Aachen;;NW 70230;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
NW;Jürgen Gallun;Fichtenstraße 11;51580 Reichshof;;NW 70253;;;;;S, B, O, P, C;;;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;K. u. H. Kemper Fleisch- und Wurstwaren GmbH ;Zum Hagenbach  13;48366 Laer;;NW 90024;;;;;;;;;;;;;;P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Karl Chaumet;Scheidt 2;41812 Erkelenz;;NW 70008;;;;;B, O, S;;;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Müller-Moers GmbH & Co. KG;Genender Weg 6;47445 Moers;;NW 50239;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Katholische Jugendwerke GmbH;Fraunhoferstraße 7;53121 Bonn;;NW 70233;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
NW;Jochen Unterhansberg;Am Buchholz 13;45470 Mülheim an der Ruhr;;NW 40060;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
NW;Johannes Roßkothen;Rotthäuser Weg 104;40629 Düsseldorf;;NW 40058;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
NW;Johannes Timmer;Heltweg 18a;48734 Reken;;NW 84010;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
NW;Kempkensteffen GbR;Hammoor 12;33397 Rietberg;;NW 30063;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;;;;;;;;;;;;
NW;Gebing GmbH & Co. KG;Goethestraße 10;48739 Legden;;NW 90007;;;;;B, C, O, S;B, O;;;;;wU;wA, wL, wU, wG;B, O;B, wA, wL, wU, wG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Landmetzgerei Kürten;Alfen 1a;51688 Wipperfürth;;NW 70106;;;;;B, P;B, P;;;;;;;;B, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Klaus Oertmann GmbH ;Schneidemühler Straße 58;33605 Bielefeld;;NW 30138;;;;;;B, P;;;;;;;;P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NW;Klinik Lindenplatz GmbH;Weslarner Straße 29;59505 Bad Sassendorf;;NW 10267;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
NW;KM Fleisch GmbH;Emscherstraße 59;45891 Gelsenkirchen;;NW 82007;;;;;;B, O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Hofmetzgerei Johann Dexl;Kirchstraße 6;85125 Kinding-Haunstetten;;BY 10363;;;;;B, O, P;B, O, P;;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Hofmetzgerei Johann Rieger;Rottfelling 2;94094 Rotthalmünster;;BY 20175;;;;;B, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Hofmetzgerei Spielbauer GmbH & Co. KG;Grafussing 25;84359 Simbach am Inn;;BY 20075;;;;;B, O, P, C;B, O, P, C;;;fG;fG;;;;B, O, P, C, fG;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Hofmetzgerei Pförrer;Ismaninger Straße 90a;85356 Freising;;BY 10352;;;;;B, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Hofmetzgerei Wiesheu;Sickenhausen 14;85402 Kranzberg;;BY 10569;;;;;B, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Hofvermarktung Egger - Betriebsstätte Waltenhofen;Eggenberg 5A;87448 Waltenhofen;;BY 70010;;;;;S, B, O, P, C;S, B, O, P, C;;;;;;;S, B, O, P, C;;;mp;;;;;;;;;;;;;;;;;;;;;;;;Catering/Großküche;;;;
BY;Hofvermarktung Tratner;Perletzhofen 11;93339 Riedenburg;;BY 20304;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Horst Mühlich und Sylvia Mühlich in GbR;Weiherer Straße 60;96191 Viereth / OT Trunstadt;;BY 40167;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;;;;;;;;;;;;;;;
BY;Horst Schönleben;Vogtsreichenbach 2a;90556 Cadolzburg;;BY 50435;;;;;;;;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Hospitalstiftung Dinkelscherben;Spitalgasse 2;86424 Dinkelscherben;;BY 70510;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
BY;Hotel Forellenhof - Familie Hofer-Zäh;Unterhofer Straße 20;91719 Heidenheim;;BY 50406;;;;;;;;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Hotel-Metzgerei Reidinger GmbH;Schrobenhausener Straße 2;86554 Pöttmes;;BY 70381;;;;;B, O, P, C;;;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Tobias Liebert Bio-Milchziegenhof;Am Kaygraben ;86637 Wertingen;;BY 70373;;;;;C;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Hubert Müller;Hilaria-Lechner-Straße 24;86690 Mertingen;;BY 70321;;;;;B, O, P, C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Hubert Sollmann;Naab 4;95671 Bärnau;;BY 30519;;;;;;;;;fG;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Hühnerhof Lingauer;Plitting 2;93170 Bernhardswald;;BY 30297;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BY;Hutter-Milch GbR;Eichstätter Straße 5;85111 Adelschlag;;BY 13020;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
BY;Ignaz Reiner;Bürgerstraße 11;86551 Aichach;;BY 70540;;;;;;;;;;fG;wL, wU, wG, wA;;S, B, O, P, C, A, L, fG, wL, R, wU, wA;S, B, O, P, C, A, L, fG, wL, R, wU, wA;;mp;;;;;;;;;;B;;;X;;;;;X;;;;;;Catering/Großküche;;;;
BY;Import-TB-Export Thaddäus Binder;Engishausen 32;87743 Egg a. d. Günz;;BY 70035;;;;;;;;;;;;;;;;;;;X;X;X;;X;;;;;;;;;;;;;;;;;;;;;
BY;Inntal Pflegeheim OHG, Seniorenzentrum Sonnengarten;Wirtsgasse 41;84453 Mühldorf a.Inn;;BY 10556;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
BY;INTER-Handelsgesellschaft Antonio Cultrona GmbH;Chiemseestraße 41;83022 Rosenheim;;BY 16002;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;
BY;Ipsheimer Hofmetzgerei Rainer Kopp;Schützenstraße 7;91472 Ipsheim;;BY 50025;;;;;B, O, P, C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;J + A Härtl GbR;Hohenzant 1;92249 Vilseck;;BY 30218;;;;;;;;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;J. Bauer GmbH & Co. KG Kantine;Molkerei Bauer Straße 1-10;83512 Wasserburg a.Inn;;BY 10193;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
BY;J. Heiß GmbH;Steinbach 9;83661 Lenggries;;BY 10376;;;;;B, O, P, C;B, O, P, C;;;fG;fG;wA, wL, wU, wG;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Jagdgenossenschaft Tittling;Jägersteig 2;94104 Tittling;;BY 20271;;;;;B, O;B;;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Jakob Burger;Postweg 5;92348 Berg b.Neumarkt i.d.OPf.;;BY 30547;;;;;;;;;fG;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Jakob Kiemer;Parsbergstraße 106;82239 Alling;;BY 17037;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BY;Jakob Krammetsvogel GbR;Gachenbacherstraße 9;86565 Peutenhausen;;BY 10088;;X;;;;S, B, O, P, C;;;;;;;;S, B, P, C, O;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Johann Bauer Fleisch- und Wurstwaren GmbH;Unterer Markt 25;94424 Arnstorf;;BY 20331;;;;;;B, P;;;;;;;;P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Johann Binder;Niederperach 38;84567 Perach;;BY 17072;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BY;Johann Gottfried Sutter;Nazenbergstraße 12;88171 Weiler-Simmerberg;;BY 70097;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BY;Johann Götzfried;Keltenstraße 30;93186 Kneiting;;BY 30239;;;;;;;;;fG;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Metzgerei Helmschrott;Fuggerstr. 24;86465 Welden;;BY 70285;;;;;O, P, C;B, C, O, P;;;;;;;;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Johann Hirschvogel;Auinger Weg 5;82229 Seefeld;;BY 10283;;;;;B;;;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Johann Kammerl - Schlachtraum bei der Gaststätte Bei Fuchs und Has;Heimenhalden 2;87634 Günzach;;BY 70545;;;;;O;;;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Johann Constantin Kiermeier;Gambach 33;85296 Rohrbach;;BY 10562;;;;;;;;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Inge Mirsberger;Wirtgäßlein 5;91338 Igensdorf;;BY 40228;;;;;;;;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Johann Orthofer;Schillhofen 2;85244 Röhrmoos;;BY 17040;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BY;Metzgerei und Feinkost Johann Raab GmbH & Co. KG;Verdistraße 113;81247 München;;BY 10004;;;;;;B, P;;;;;;;;B, P;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;
BY;Brigitte und Johann Riedl;Alpenstr. 30;85625 Baiern OT Jakobsbaiern;;BY 17091;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;X;;;;;;;;;;;;;;;
BY;Johann Schart;Maierhof 1;84104 Rudelzhausen;;BY 17075;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BY;Johann Steinberger;Stetten 1;83083 Riedering;;BY 10534;;;;;B, O, P, C;B, O, P, C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Johann Wagner;Hauptstraße 10;92551 Stulln;;BY 30454;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BY;Johann Wasner GmbH Rottaler-Land-Feinkost;Emil-Schwate-Straße 24;84364 Bad Birnbach;;BY 20013;;;;;;S, B, O, P, C;;;;;;;;S, B, O, P, C;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Josef Christl;Höfelestraße 1;82496 Oberau;;BY 10490;;;;;;B, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Josef Groh;Roth 12;96199 Zapfendorf;;BY 40242;;;;;;;;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Metzgerei Josef Gschwendtner;Schrobenhausener Straße 13;85229 Langenpettenbach;;BY 10069;;;;;S, B, O, P, C;;;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Josef Hochmuth jun.;Straßhof 1;93149 Nittenau;;BY 30483;;;;;;;;;fG;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Josef Jesterschawek;Rosengartenstraße 8;93161 Bergmatting;;BY 30503;;;;;B, P;B, P;;;;;wL, wU, wG, wA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Josef Klauser;Lohen 3;83342 Tacherting;;BY 17002;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BY;Josef Krinner;Straßkirchener Weg 2;94569 Stephansposching;;BY 20132;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Josef Dürmeyer Spanferkel- und Spezialitäten;Kagrastraße 34-36;93326 Abensberg;;BY 20031;;;;;P;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Eggensberger Josef, Hopfen am See;Haagweg 10;87629 Füssen;;BY 70527;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;
BY;Josef Gasbichler;Sagbergstraße 9;83112 Frasdorf;;BY 10554;;;;;B, C, O, P;B, C, O, P;;;fG;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Josef Maier GmbH & Co. KG;Leonhard-Oberhäuser-Straße 6;86825 Bad Wörishofen;;BY 70560;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Norbert Moser;Solla 6;94065 Waldkirchen;;BY 20160;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BY;Josef Paulus;Berghang 8;93482 Pemfling-Löwendorf;;BY 30527;;;;;;;;;fG;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Josef Rauh;Burgleiten 11;87675 Stötten a. Auerberg;;BY 70252;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BY;Peter Reßl;Mondscheinweg 16;83671 Benediktbeuern;;BY 10436;;;;;;S, B, O, P, C;;;;;;;;S, B, O, P, C;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Josef Schmid;Erlengasse 14;92559 Muschenried;;BY 30258;;;;;;;;;fG;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Christoph Schuster;Münchener Straße 1;82239 Biburg;;BY 15006;;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Josef Seybold KG;Hanns-Martin-Schleyer-Straße 27;89415 Lauingen (Donau);;BY 70024;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;
BY;Josef Spiel;Endorferstraße 26;83083 Riedering;;BY 10731;;;;;;;;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Josef Sporrer;Ohbere Au 4;93453 Neukirchen b.Hl.Blut;;BY 30346;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BY;Josef Stadler;Ludwig-Thoma-Straße 38;83700 Rottach-Egern;;BY 13029;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;
BY;Josef Sternegger;Stierberg 18;84419 Obertaufkirchen;;BY 10243;;;;;S, B, O, P, C;S, B, O, P, C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Josef und Ursula Hörger;Schmiedstraße 5;85635 Höhenkirchen-Siegertsbrunn;;BY 10609;;;;;B, O, P, C;;;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Josef Willnhammer;Gschwendt 3;83564 Soyen;;BY 10762;;;;;;;;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Metzgerei Joseph Huber GmbH & Co. KG;Lechermannstraße 21;85051 Ingolstadt;;BY 10003;;X;;;;B, O, P;;A;;;;;B, P;B, P, A;;mp;;X;;;;;;;;;;;X;;;;;;;;;;;;;;;
BY;Jugendhilfezentrum Pfaffendorf - Salesianer Don Boscos;Am Schloß 1;96126 Maroldsweisach;;BY 60117;;;;;;;;;;;;;;;;mp;;;;;;;;;;B, C, O;;;X;;;;;X;;;;;;Catering/Großküche;;;;
BY;Jürgen Fischer;Gewerbestraße 11;86978 Hohenfurch;;BY 17058;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BY;Justizvollzugsanstalt Landsberg, Außenstelle Rothenfeld;Rothenfeld 2;82346 Andechs;;BY 17025;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BY;Fauth GbR;Bräugasse 9;85653 Aying;;BY 10391;;;;;B, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Karl Andreaus;Sommershausener Straße 12;94437 Mamming;;BY 20366;;;;;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Karl Betzinger;Lochham 31;83627 Warngau;;BY 17085;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BY;Diem GmbH, Gasthof und Metzgerei;Schildbachstraße 3;86489 Deisenhausen;;BY 70012;;;X;;B, O, P;B, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Karl Emil Hertlein;Raiffeisenstraße 14;86754 Munningen;;BY 70489;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BY;Erwin Kühner;Weideweg 6;85104 Pförring;;BY 10113;;;;;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Karl Plass;Vilstalstraße 24;84186 Vilsheim;;BY 20135;;;;;B, O, P, C;B, O, P, C;;;fG;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Ripfel Forellen GmbH;Geislins 7a;87724 Ottobeuren;;BY 70450;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;;;;;;;
BY;Karl und Karin Hirsch Damwild;Dorfgütingen 31;91555 Feuchtwangen;;BY 50418;;;;;;;;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Karlheinz Rost;Franz-Joseph-Ahles-Straße 32;96264 Altenkunstadt;;BY 40321;;;;;;;;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;jamei OHG;Bischof-Freundorfer-Weg 24;87439 Kempten (Allgäu);;BY 70065;;;;;;;;;;;;;;;;;;;;;;;;;;B, C, O;;;;;;;;;;;;;;;;;;
BY;Käserei Geißenhof Annemarie und Hans Schöneberg GbR;Mendhäuser Straße 2;97633 Höchheim;;BY 60291;;;;;;;;;;;;;;;;;;;;;;;;;;C;;;;;;;;;;;;;;;;;;
BY;Katholische Männerfürsorgeverein München e.V., Haus an der Pilgersheimer Straße;Pilgersheimer Str. 9-11;81543 München;;BY 10440;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
BY;Katharinenheim e.V.;Katharinenheimstraße 18;83093 Bad Endorf;;BY 10603;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;Catering/Großküche;;;;
BY;Kauffeld Fleischgroßhandel;Südbahnhofstraße 19;63739 Aschaffenburg;;BY 60244;;;;;;B, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Kiga-Menue;Felix-Klein-Straße 75a;91058 Erlangen;;BY 50460;;;;;;;;;;;;;;;;mp;;;;;;;;;;B;;X;X;;;;X;X;;;;;;;;;;
BY;Kindler Verpachtungsbetrieb GmbH, Farmwild Kindler;Rohrbergstraße 17;86424 Dinkelscherben;;BY 70584;;;;;O, C;;;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Eham Martin;Hauptstraße 7;83620 Feldkirchen;;BY 10422;;;;;B, O, P;;;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Der Metzger Huber GmbH;Gleissentalstraße 2;82064 Straßlach-Dingharting;;BY 10162;;;;;B, O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BY;Klaus Priller;Irlach 9;93359 Wildenberg;;BY 20296;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
BY;Kaspar Schuster Farmwild;Marktstraße 8;86637 Wertingen;;BY 70583;;;;;;;;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
